City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,73.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Hermanus,ZA,66.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Cape Town,ZA,76.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Iracoubo,GF,78.04,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
12,Busselton,AU,73.44,broken clouds,-33.65,115.3333,Observatory Guest House
14,Saint-Philippe,RE,76.59,very heavy rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,Cabo San Lucas,MX,64.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
19,Ahipara,NZ,63.46,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
22,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
25,Rikitea,PF,74.7,few clouds,-23.1203,-134.9692,People ThankYou
27,Urumqi,CN,61.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
31,Santa Cruz,BO,67.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
35,Kavieng,PG,78.21,light rain,-2.5744,150.7967,Nusa Island Retreat
36,Acarau,BR,75.56,overcast clouds,-2.8856,-40.12,castelo pizzaria
42,Sinnamary,GF,78.03,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
43,San Cristobal,VE,68.18,few clouds,7.7669,-72.225,Pirineos
44,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
46,Nishihara,JP,61.88,light rain,26.1842,127.7558,Minshuku Agaihama
47,Waingapu,ID,79.11,clear sky,-9.6567,120.2641,Pondok Wisata Elim
50,Camapua,BR,69.03,overcast clouds,-19.5314,-54.0439,Comercial Estrela
51,Puerto Escondido,MX,74.21,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
55,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Saldanha,ZA,68.47,clear sky,-33.0117,17.9442,Blue Bay Lodge
60,Port Elizabeth,ZA,68.29,broken clouds,-33.918,25.5701,39 On Nile Guest House
61,Cidreira,BR,68.88,few clouds,-30.1811,-50.2056,Hotel Castelo
65,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
67,Macenta,GN,76.53,overcast clouds,8.5435,-9.471,Hôtel Yansané
68,Huarmey,PE,69.26,overcast clouds,-10.0681,-78.1522,Hotel Miramar
74,Bambous Virieux,MU,75.45,moderate rain,-20.3428,57.7575,Casa Tia Villa
75,Hilo,US,73.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
80,Ridgecrest,US,60.66,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
81,Sibu,MY,77.31,thunderstorm,2.3,111.8167,RH HOTEL (4 Star)
87,Dong Hoi,VN,61.92,overcast clouds,17.4833,106.6,Nam Long Hotel
89,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
95,Nicoya,CR,73.38,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
96,Wanning,CN,62.01,overcast clouds,18.8003,110.3967,Paradise Hotel
102,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
105,Atuona,PF,78.3,few clouds,-9.8,-139.0333,Villa Enata
109,Chipinge,ZW,75.04,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
112,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
114,Kapit,MY,74.97,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
119,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Ribeira Grande,PT,61.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
125,Coari,BR,74.23,light rain,-4.085,-63.1414,Dellrey Hotel Center
127,East London,ZA,63.54,light rain,-33.0153,27.9116,Tu Casa
130,Beberibe,BR,75.4,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
131,Port Lincoln,AU,62.13,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
137,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
138,Arraial Do Cabo,BR,75.16,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
143,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
144,Menongue,AO,76.75,light rain,-14.6585,17.691,Ritz Lauca
146,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
150,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
151,Pelaya,CO,77.68,few clouds,8.6882,-73.6645,HOTEL JERCHRIAS
153,Padilla,CO,69.37,overcast clouds,3.2204,-76.3139,La Granadina
157,Cape Canaveral,US,73.02,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
158,Toucheng,TW,63.09,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
159,Le Port,RE,77.0,heavy intensity rain,-20.9373,55.2919,KORBEY D'OR OUEST
160,Bijar,IR,70.74,few clouds,35.8668,47.6051,رنگ فروشي جواهري
165,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
168,Auki,SB,77.72,overcast clouds,-8.7676,160.7034,Auki Motel
174,Puerto Rico,AR,66.54,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
176,Ponta Do Sol,PT,65.01,overcast clouds,32.6667,-17.1,Hotel do Campo
180,Esperance,AU,71.01,clear sky,-33.8667,121.9,Hospitality Esperance
181,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
184,Aktau,KZ,73.98,broken clouds,43.65,51.2,Silk Way Hotel
190,Bubaque,GW,75.2,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
192,Metro,ID,78.15,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
193,Marsa Matruh,EG,69.94,overcast clouds,31.3525,27.2453,Beau Site
197,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
198,Augusto Correa,BR,75.88,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
203,Cockburn Town,TC,77.56,clear sky,21.4612,-71.1419,Osprey Beach Hotel
205,Mareeba,AU,72.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
206,Buala,SB,79.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
209,Sampit,ID,77.65,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
216,Chuy,UY,60.53,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
220,Alice Springs,AU,65.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
223,Byron Bay,AU,67.71,few clouds,-28.65,153.6167,Backpackers Inn
224,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
227,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
