City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,4.03,96,84,7.02,broken clouds
1,Bluff,NZ,-46.6,168.3333,57.72,71,72,14.79,broken clouds
2,Annau,TM,37.8876,58.516,81.12,15,1,15.48,clear sky
3,Kapaa,US,22.0752,-159.319,73.11,81,20,20.71,few clouds
4,Hermanus,ZA,-34.4187,19.2345,66.79,65,89,18.66,overcast clouds
5,Fomboni,KM,-12.28,43.7425,82.33,72,25,4.27,light rain
6,Castro,BR,-24.7911,-50.0119,57.25,96,100,6.71,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,76.26,52,0,5.99,clear sky
8,Iracoubo,GF,5.4802,-53.2011,78.04,90,100,10.54,light rain
9,Georgetown,MY,5.4112,100.3354,82.33,78,20,0.0,few clouds
10,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,23.85,snow
11,Hofn,IS,64.2539,-15.2082,45.03,64,86,4.81,overcast clouds
12,Busselton,AU,-33.65,115.3333,73.44,70,83,2.06,broken clouds
13,Upernavik,GL,72.7868,-56.1549,9.95,93,100,10.92,overcast clouds
14,Saint-Philippe,RE,-21.3585,55.7679,76.59,96,100,17.11,very heavy rain
15,Punta Arenas,CL,-53.15,-70.9167,42.91,93,100,6.91,light rain
16,Thompson,CA,55.7435,-97.8558,2.52,97,63,5.23,broken clouds
17,Cabo San Lucas,MX,22.8909,-109.9124,64.51,57,5,1.99,clear sky
18,Opuwo,NA,-18.0607,13.84,71.35,76,81,10.0,light rain
19,Ahipara,NZ,-35.1667,173.1667,63.46,90,66,2.06,broken clouds
20,Saskylakh,RU,71.9167,114.0833,7.09,96,100,10.04,overcast clouds
21,Matay,EG,28.419,30.7792,99.68,3,80,5.17,broken clouds
22,Katherine,AU,-14.4667,132.2667,75.52,53,52,0.0,broken clouds
23,Bengkulu,ID,-3.8004,102.2655,80.69,75,15,5.64,few clouds
24,Westport,US,41.1415,-73.3579,40.82,58,40,16.11,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,74.7,54,22,7.4,few clouds
